customer_id,predicted_clv_6months,clv_tier,churn_risk_score,expected_purchases_6m,prob_alive,clv_bg_nbd,clv_xgb
18139,15227.1093,Platinum,0.1086,16.8903,0.8914,24614.8066,5389.6558
14646,9845.9228,Platinum,1.0000,0.0000,0.0000,0.0000,115807.9375
14156,7317.5876,Gold,1.0000,0.0000,0.0000,0.0000,86069.6094
14911,7055.0494,Gold,1.0000,0.0000,0.0000,0.0000,82981.6328
18102,6732.8779,Gold,1.0000,0.0000,0.0000,0.0000,79192.2422
13694,6507.7669,Gold,1.0000,0.0000,0.0000,0.0000,76544.4766
13089,5837.8694,Gold,1.0000,0.0000,0.0000,0.0000,68665.1328
16684,5649.5954,Gold,1.0000,0.0000,0.0000,0.0000,66450.6562
17511,5516.4652,Gold,1.0000,0.0000,0.0000,0.0000,64884.7695
17509,5343.6113,Gold,0.1446,10.4632,0.8554,8205.4905,4943.7769
15311,5180.7093,Gold,1.0000,0.0000,0.0000,0.0000,60935.6055
15061,4980.1853,Gold,1.0000,0.0000,0.0000,0.0000,58577.0352
14096,4733.2364,Gold,1.0000,0.0000,0.0000,0.0000,55672.4180
14088,4703.5206,Gold,1.0000,0.0000,0.0000,0.0000,55322.9023
16029,4124.6344,Gold,1.0000,0.0000,0.0000,0.0000,48514.0312
13798,4085.7016,Gold,1.0000,0.0000,0.0000,0.0000,48056.1016
15769,3891.5766,Gold,1.0000,0.0000,0.0000,0.0000,45772.8008
13081,3786.0858,Gold,1.0000,0.0000,0.0000,0.0000,44532.0156
14298,3576.2204,Gold,1.0000,0.0000,0.0000,0.0000,42063.5742
17389,3472.8728,Gold,1.0000,0.0000,0.0000,0.0000,40847.9961
13777,3456.4677,Gold,1.0000,0.0000,0.0000,0.0000,40655.0430
16705,3209.4928,Gold,1.0000,0.0000,0.0000,0.0000,37750.1172
12415,3041.6224,Silver,1.0000,0.0000,0.0000,0.0000,35775.6211
12748,2989.0952,Silver,1.0000,0.0000,0.0000,0.0000,35157.7969
17841,2808.0041,Silver,1.0000,0.0000,0.0000,0.0000,33027.8008
12590,2722.3774,Silver,0.2410,0.6888,0.7590,4106.9160,3037.2808
17404,2665.9017,Silver,1.0000,0.0000,0.0000,0.0000,31356.3887
17450,2586.6053,Silver,1.0000,0.0000,0.0000,0.0000,30423.7051
13881,2436.7252,Silver,1.0000,0.0000,0.0000,0.0000,28660.8105
16422,2435.0079,Silver,1.0000,0.0000,0.0000,0.0000,28640.6113
14031,2424.8876,Silver,1.0000,0.0000,0.0000,0.0000,28521.5762
12931,2232.3227,Silver,1.0000,0.0000,0.0000,0.0000,26256.6230
17677,2217.1079,Silver,1.0000,0.0000,0.0000,0.0000,26077.6680
15838,2098.9400,Silver,1.0000,0.0000,0.0000,0.0000,24687.7734
14680,2092.0568,Silver,1.0000,0.0000,0.0000,0.0000,24606.8125
17428,2083.3318,Silver,1.0000,0.0000,0.0000,0.0000,24504.1914
12433,2064.2579,Silver,1.0000,0.0000,0.0000,0.0000,24279.8418
12753,2050.6696,Silver,1.0000,0.0000,0.0000,0.0388,24119.7422
15039,1955.8389,Silver,1.0000,0.0000,0.0000,0.0000,23004.6152
16779,1913.5127,Silver,1.0000,0.0000,0.0000,0.0000,22506.7734
17949,1887.8866,Silver,1.0000,0.0000,0.0000,0.0000,22205.3594
17675,1879.4666,Silver,1.0000,0.0000,0.0000,0.0000,22106.3242
15856,1870.0304,Silver,1.0000,0.0000,0.0000,0.0000,21995.3340
12482,1791.7142,Silver,0.4456,3.6496,0.5544,2986.1904,0.0000
18251,1785.9704,Silver,1.0000,0.0000,0.0000,0.0020,21006.6055
17100,1743.5381,Silver,0.2410,4.1991,0.7590,2483.6119,2980.1545
12678,1705.9173,Silver,1.0000,0.0000,0.0000,0.0000,20065.0312
12762,1696.2131,Silver,0.5591,2.0019,0.4409,2304.6763,3686.3030
12357,1691.2158,Silver,0.9822,0.0166,0.0178,110.9445,19109.1543
12921,1611.2864,Silver,1.0000,0.0000,0.0000,0.0000,18951.9824
12709,1602.7711,Silver,1.0000,0.0000,0.0000,0.0000,18851.8242
13902,1583.3386,Silver,0.2153,0.5919,0.7847,2638.8976,0.0000
12477,1555.9196,Silver,1.0000,0.0000,0.0000,0.0000,18300.7578
13767,1548.1451,Silver,1.0000,0.0000,0.0000,0.0000,18209.3145
13078,1546.0268,Silver,1.0000,0.0000,0.0000,0.0000,18184.3965
12471,1525.6917,Silver,1.0000,0.0000,0.0000,0.0000,17945.2148
14606,1522.6912,Silver,1.0000,0.0000,0.0000,0.0000,17909.9238
16240,1500.3097,Silver,0.5702,0.8942,0.4298,2012.6423,3443.0288
15251,1493.2863,Silver,1.0000,0.0000,0.0000,0.0000,17564.0625
16013,1474.9719,Silver,1.0000,0.0000,0.0000,0.0000,17348.6484
15498,1467.3074,Silver,1.0000,0.0000,0.0000,0.0000,17258.4980
14866,1394.2405,Silver,1.0000,0.0000,0.0000,0.0000,16399.0840
14258,1377.9016,Silver,1.0000,0.0000,0.0000,0.0000,16206.9062
12681,1367.9890,Silver,1.0000,0.0000,0.0000,0.0000,16090.3145
13340,1332.6690,Silver,1.0000,0.0000,0.0000,0.0000,15674.8799
16376,1326.3480,Silver,0.4072,3.3895,0.5928,2036.0757,1231.5144
15531,1297.2482,Silver,0.6132,1.5648,0.3868,1904.5088,1817.7367
15513,1247.2246,Silver,1.0000,0.0000,0.0000,0.0000,14669.8799
15427,1223.0192,Silver,0.3320,3.3998,0.6680,1846.1201,1356.7155
17865,1140.6592,Silver,1.0000,0.0000,0.0000,0.0000,13416.4561
14063,1100.0909,Silver,0.1345,1.2376,0.8655,1724.9090,766.2422
12409,1095.4967,Silver,1.0000,0.0001,0.0000,0.2839,12883.2500
15009,1091.1513,Silver,0.5338,3.5286,0.4662,1631.1344,1322.8820
17243,1063.7501,Silver,1.0000,0.0000,0.0000,0.0000,12511.8496
17340,1062.4918,Silver,1.0000,0.0000,0.0000,0.0000,12497.0488
14971,1061.8427,Silver,0.2635,3.9763,0.7365,1627.5265,1003.6152
13319,1057.5889,Silver,1.0000,0.0000,0.0000,0.0000,12439.3809
17500,1054.8512,Silver,0.4433,3.7772,0.5567,1575.5417,1288.2490
13447,1039.2992,Silver,0.3796,3.7578,0.6204,1555.3046,1248.1432
14164,1037.0422,Silver,0.2719,1.4572,0.7281,1442.8654,2015.1039
17444,1035.7092,Silver,0.2429,1.4384,0.7571,1545.3976,1275.8340
14607,1030.2420,Silver,1.0000,0.0000,0.0000,0.0000,12117.7266
17706,1027.9512,Silver,1.0000,0.0000,0.0000,0.0000,12090.7822
13596,1026.7878,Silver,0.4465,3.6771,0.5535,1564.7446,1034.3647
14667,1023.0655,Silver,1.0000,0.0000,0.0000,0.0000,12033.3164
16133,1004.9086,Silver,1.0000,0.0000,0.0000,0.0000,11819.7549
17920,1000.0818,Silver,1.0000,0.0000,0.0000,0.0000,11762.9824
12731,995.3471,Silver,1.0000,0.0000,0.0000,0.0000,11707.2920
12682,995.1989,Silver,1.0000,0.0000,0.0000,0.0000,11705.5488
15615,990.3880,Silver,1.0000,0.0000,0.0000,0.0000,11648.9619
17317,987.9932,Silver,0.5022,1.5929,0.4978,1514.0246,936.0027
13098,956.2009,Silver,1.0000,0.0000,0.0000,0.0000,11246.8535
17139,953.3749,Silver,1.0000,0.0000,0.0000,0.0000,11213.6143
14062,936.1337,Silver,1.0000,0.0000,0.0000,0.0000,11010.8232
16746,926.9073,Silver,1.0000,0.0000,0.0000,0.0000,10902.3018
16070,924.2702,Silver,0.3343,2.5825,0.6657,1340.9195,1408.1321
14895,920.1860,Silver,1.0000,0.0000,0.0000,0.0000,10823.2451
17381,917.0459,Silver,1.0000,0.0000,0.0000,0.0000,10786.3115
16525,914.6133,Silver,1.0000,0.0000,0.0000,0.0000,10757.6992
17850,910.5855,Silver,1.0000,0.0000,0.0000,0.0000,10710.3242
16839,908.2851,Silver,1.0000,0.0000,0.0000,0.0000,10683.2676
14856,894.7687,Silver,0.3862,2.7380,0.6138,1315.2185,1242.5122
14160,889.3177,Silver,0.1978,1.1960,0.8022,1482.1962,0.0000
17461,879.6350,Silver,0.2899,4.8186,0.7101,1341.1071,881.8074
13810,866.9273,Silver,0.4943,2.2837,0.5057,1253.3049,1351.9777
12435,852.1420,Silver,0.9989,0.0012,0.0011,3.2231,10000.1650
12454,845.6075,Silver,0.9986,0.0022,0.0014,7.3431,9894.2295
15159,819.8633,Silver,1.0000,0.0000,0.0000,0.0000,9643.2480
12882,819.1745,Silver,0.6159,1.4320,0.3841,1271.9847,658.4809
14277,808.9003,Silver,1.0000,0.0000,0.0000,0.0000,9514.3008
17581,806.1116,Silver,1.0000,0.0000,0.0000,0.0000,9481.5010
16079,789.1522,Silver,0.6014,2.2566,0.3986,1117.4197,1396.1558
15654,775.3577,Silver,0.5358,2.0566,0.4642,1155.2937,966.6196
15977,768.0910,Silver,0.4672,1.8121,0.5328,1162.6177,829.4623
12531,757.6857,Bronze,0.9721,0.0086,0.0279,10.0675,8840.8652
17387,752.2574,Bronze,0.3780,2.3188,0.6220,1108.7014,1023.7259
12901,731.2661,Bronze,1.0000,0.0000,0.0000,0.0000,8601.1660
17566,731.0273,Bronze,0.5591,2.0019,0.4409,1098.7529,844.2249
12452,730.0341,Bronze,0.2410,4.3401,0.7590,1148.3424,482.5798
15060,727.2628,Bronze,0.2035,13.9882,0.7965,1142.9477,488.0552
15413,719.3144,Bronze,0.1598,0.8119,0.8402,1154.4059,313.7033
12359,709.4055,Bronze,1.0000,0.0000,0.0000,0.0000,8344.0410
12967,708.8917,Bronze,0.2094,0.7476,0.7906,1175.8651,39.6691
17377,706.8720,Bronze,1.0000,0.0000,0.0000,0.0000,8314.2422
14056,705.6707,Bronze,1.0000,0.0000,0.0000,0.0000,8300.1133
15125,705.3259,Bronze,1.0000,0.0000,0.0000,0.0000,8296.0566
14769,692.9398,Bronze,1.0000,0.0000,0.0000,0.0000,8150.3711
17857,687.8218,Bronze,1.0000,0.0000,0.0000,0.0000,8090.1733
16672,687.4150,Bronze,1.0000,0.0000,0.0000,0.0000,8085.3887
14527,686.4848,Bronze,1.0000,0.0000,0.0000,0.0000,8074.4478
13093,685.7293,Bronze,1.0000,0.0000,0.0000,0.0000,8065.5610
14194,685.1156,Bronze,1.0000,0.0000,0.0000,0.0000,8058.3433
16479,684.0748,Bronze,0.2410,5.7932,0.7590,1078.8222,432.6246
17523,681.9709,Bronze,0.5017,6.0427,0.4983,1054.1221,582.1925
12567,667.0665,Bronze,1.0000,0.0000,0.0000,0.0000,7846.0498
13001,664.3495,Bronze,1.0000,0.0000,0.0000,0.0000,7814.0918
15332,662.4828,Bronze,0.4159,0.9754,0.5841,1104.1380,0.0000
13467,661.1806,Bronze,0.5743,1.5279,0.4257,1007.0197,670.0681
16126,657.9655,Bronze,1.0000,0.0000,0.0000,0.0000,7739.0039
16984,655.4087,Bronze,1.0000,0.0000,0.0000,0.0025,7708.9121
12428,650.9118,Bronze,1.0000,0.0000,0.0000,0.0001,7656.0356
14664,643.7875,Bronze,0.3694,2.3974,0.6306,934.5483,976.9361
12481,640.9080,Bronze,1.0000,0.0000,0.0000,0.0000,7538.3721
16131,628.2220,Bronze,1.0000,0.0000,0.0000,0.0000,7389.1597
15444,625.8856,Bronze,0.6618,1.1305,0.3382,973.5751,490.9525
15078,625.0874,Bronze,1.0000,0.0000,0.0000,0.0000,7352.2900
14367,623.9311,Bronze,1.0000,0.0000,0.0000,0.0000,7338.6899
16333,620.3388,Bronze,1.0000,0.0000,0.0000,0.0000,7296.4370
17416,618.8946,Bronze,1.0000,0.0000,0.0000,0.0000,7279.4502
12472,616.5418,Bronze,1.0000,0.0000,0.0000,0.0000,7251.7769
12546,615.2252,Bronze,0.3717,1.2944,0.6283,913.9821,786.1261
14261,613.5864,Bronze,0.3522,1.3217,0.6478,934.7871,620.0251
13935,608.1222,Bronze,0.2162,0.4539,0.7838,1013.5369,0.0000
12647,605.9320,Bronze,1.0000,0.0000,0.0000,0.0000,7126.9849
16546,592.8935,Bronze,0.4576,0.8426,0.5424,988.1558,0.0000
15296,590.6329,Bronze,1.0000,0.0000,0.0000,0.0000,6947.0361
15382,584.3747,Bronze,1.0000,0.0000,0.0000,0.0000,6873.4272
14049,579.0631,Bronze,1.0000,0.0000,0.0000,0.0000,6810.9512
14179,578.9087,Bronze,0.2983,1.9528,0.7017,857.8134,755.3641
12630,575.3280,Bronze,0.6595,1.0661,0.3405,823.1598,957.8058
15274,574.8151,Bronze,0.6598,1.8821,0.3402,823.1375,951.9308
12621,567.8249,Bronze,1.0000,0.0000,0.0000,0.0000,6678.7676
16811,560.8291,Bronze,0.5815,2.3932,0.4185,801.6101,939.3505
14305,552.6106,Bronze,0.4867,1.1958,0.5133,813.2210,760.7435
